================================ 西邮食堂菜品综合报表 ================================
生成时间: 2026-03-26 23:31:30

菜品ID     菜品名称             所属窗口        分类       价格(元)   销量       评分      
D201       经典扬州炒饭         铁板烧炒饭      小吃       12.00      1300       4.7       
D202       老上海酱油炒饭       铁板烧炒饭      小吃       10.00      1100       4.6       
D203       金包银鸡蛋炒饭       铁板烧炒饭      小吃       8.00       1500       4.5       
D204       大颗鲜虾仁炒饭       铁板烧炒饭      小吃       15.00      950        4.8       
D205       焦香培根炒饭         铁板烧炒饭      小吃       13.00      980        4.7       
D206       广式香肠炒饭         铁板烧炒饭      小吃       12.00      1200       4.6       
D207       新疆孜然羊肉炒饭     铁板烧炒饭      小吃       18.00      850        4.9       
D208       灵魂老干妈炒饭       铁板烧炒饭      小吃       10.00      1400       4.8       
D209       街头铁板土豆         铁板烧炒饭      小吃       6.00       1700       4.7       
D210       爆汁铁板香豆腐       铁板烧炒饭      小吃       7.00       1600       4.8       
D211       红柳大羊肉串         特色烧烤烤串    小吃       6.00       2500       4.9       
D212       黑椒脆骨牛肉串       特色烧烤烤串    小吃       5.00       2200       4.8       
D213       蜜汁香烤鸡翅         特色烧烤烤串    小吃       8.00       1300       4.7       
D214       滋滋冒油烤五花肉     特色烧烤烤串    小吃       4.00       2800       4.9       
D215       秘制烤大面筋         特色烧烤烤串    小吃       3.00       3200       4.8       
D216       纯肉爆汁烤香肠       特色烧烤烤串    小吃       5.00       1700       4.7       
D217       锡纸烤韭菜           特色烧烤烤串    小吃       6.00       1200       4.6       
D218       蒜蓉粉丝烤茄子       特色烧烤烤串    小吃       10.00      1100       4.8       
D219       蒜香现烤生蚝         特色烧烤烤串    小吃       8.00       1450       4.9       
D220       粉丝烤大扇贝         特色烧烤烤串    小吃       9.00       1250       4.8       
D221       香辣脆皮鸡腿堡       脆皮炸鸡汉堡    小吃       12.00      1500       4.7       
D222       奥尔良多汁烤鸡堡     脆皮炸鸡汉堡    小吃       14.00      1300       4.8       
D223       双层厚切牛肉汉堡     脆皮炸鸡汉堡    小吃       18.00      950        4.9       
D224       黄金脆皮炸全鸡       脆皮炸鸡汉堡    小吃       25.00      700        4.8       
D225       超大块比脸大鸡排     脆皮炸鸡汉堡    小吃       15.00      1200       4.7       
D226       上校黄金鸡块         脆皮炸鸡汉堡    小吃       8.00       1700       4.6       
D227       粗切美式炸薯条       脆皮炸鸡汉堡    小吃       7.00       1900       4.8       
D228       孜然骨肉相连         脆皮炸鸡汉堡    小吃       5.00       1850       4.7       
D229       冰镇百事可乐         脆皮炸鸡汉堡    饮品       4.00       3500       4.9       
D230       冰镇爽口雪碧         脆皮炸鸡汉堡    饮品       4.00       2800       4.8       
D231       山东招牌杂粮煎饼     山东煎饼果子    小吃       7.00       1700       4.8       
D232       经典加脆饼煎饼       山东煎饼果子    小吃       8.00       1400       4.7       
D233       酥脆加老油条煎饼     山东煎饼果子    小吃       8.00       1200       4.6       
D234       豪华双蛋大煎饼       山东煎饼果子    小吃       9.00       1350       4.8       
D235       肉食派培根煎饼       山东煎饼果子    小吃       10.00      1100       4.7       
D236       爆汁烤肠煎饼         山东煎饼果子    小吃       10.00      1250       4.8       
D237       海苔肉松煎饼         山东煎饼果子    小吃       11.00      950        4.6       
D238       灵魂大面筋辣条煎饼   山东煎饼果子    小吃       9.00       1600       4.9       
D239       健康多加生菜煎饼     山东煎饼果子    小吃       8.00       850        4.5       
D240       现磨热原味豆浆       山东煎饼果子    饮品       3.00       2500       4.8       
D241       东北经典烤冷面       东北烤冷面      小吃       8.00       1900       4.8       
D242       豪华加双肠烤冷面     东北烤冷面      小吃       12.00      1500       4.9       
D243       焦香培根烤冷面       东北烤冷面      小吃       11.00      1200       4.7       
D244       绝配金针菇烤冷面     东北烤冷面      小吃       10.00      1350       4.8       
D245       爆浆拉丝芝士烤冷面   东北烤冷面      小吃       13.00      1100       4.9       
D246       香嫩蟹排烤冷面       东北烤冷面      小吃       11.00      1150       4.6       
D247       多加洋葱烤冷面       东北烤冷面      小吃       8.00       850        4.5       
D248       快乐卫龙辣条烤冷面   东北烤冷面      小吃       10.00      1450       4.8       
D249       香菜星人多加香菜烤冷面 东北烤冷面      小吃       8.00       980        4.7       
D250       正宗多放老陈醋精烤冷面 东北烤冷面      小吃       8.00       1250       4.9       
D251       鲜榨百分百原味橙汁   鲜榨果汁水吧    饮品       12.00      1100       4.8       
D252       冰爽夏季西瓜汁       鲜榨果汁水吧    饮品       10.00      1500       4.7       
D253       浓郁香甜鲜榨芒果汁   鲜榨果汁水吧    饮品       14.00      950        4.9       
D254       清甜鲜榨苹果汁       鲜榨果汁水吧    饮品       12.00      850        4.6       
D255       健康护眼胡萝卜汁     鲜榨果汁水吧    饮品       10.00      550        4.4       
D256       酸甜开胃百香果汁     鲜榨果汁水吧    饮品       12.00      1200       4.8       
D257       冰鲜切手打柠檬水     鲜榨果汁水吧    饮品       5.00       2500       4.9       
D258       清热降火蜂蜜柚子茶   鲜榨果汁水吧    饮品       8.00       1300       4.7       
D259       熬制老北京冰镇酸梅汤 鲜榨果汁水吧    饮品       6.00       1700       4.8       
D260       绵密冰爽老冰棍绿豆沙 鲜榨果汁水吧    饮品       7.00       1600       4.9       
D261       港式经典丝袜奶茶     手摇茶饮铺      饮品       12.00      1350       4.8       
D262       Q弹黑糖大珍珠奶茶    手摇茶饮铺      饮品       10.00      1900       4.9       
D263       清脆爽口椰果奶茶     手摇茶饮铺      饮品       10.00      1600       4.7       
D264       厚乳手捣芋泥波波奶茶 手摇茶饮铺      饮品       14.00      1200       4.9       
D265       原叶现萃纯正乌龙茶   手摇茶饮铺      饮品       8.00       1050       4.6       
D266       清香高山茉莉绿茶     手摇茶饮铺      饮品       8.00       1150       4.5       
D267       咸香海盐芝士奶盖茶   手摇茶饮铺      饮品       15.00      950        4.8       
D268       果肉满满多肉红柚     手摇茶饮铺      饮品       16.00      850        4.9       
D269       手剥果肉芝士葡萄     手摇茶饮铺      饮品       18.00      750        4.9       
D270       经典港式杨枝甘露     手摇茶饮铺      饮品       16.00      1100       4.8       
D271       现磨阿拉比卡美式咖啡 现磨咖啡甜点    饮品       12.00      1300       4.7       
D272       经典醇香拿铁咖啡     现磨咖啡甜点    饮品       15.00      1150       4.8       
D273       绵密奶泡卡布奇诺     现磨咖啡甜点    饮品       15.00      980        4.7       
D274       丝滑香浓巧克力摩卡   现磨咖啡甜点    饮品       16.00      850        4.6       
D275       甜蜜印记焦糖玛奇朵   现磨咖啡甜点    饮品       16.00      1100       4.8       
D276       日式宇治抹茶拿铁     现磨咖啡甜点    饮品       15.00      1200       4.9       
D277       空气感巧克力慕斯蛋糕 现磨咖啡甜点    甜点       18.00      680        4.8       
D278       浓郁樱桃黑森林蛋糕   现磨咖啡甜点    甜点       20.00      580        4.9       
D279       重度烘焙半熟芝士蛋糕 现磨咖啡甜点    甜点       18.00      750        4.9       
D280       意大利经典提拉米苏   现磨咖啡甜点    甜点       22.00      600        4.8       
D281       低脂水煮鸡胸肉沙拉   健康减脂轻食    轻食       18.00      850        4.7       
D282       高蛋白薄切牛肉沙拉   健康减脂轻食    轻食       25.00      700        4.8       
D283       海盐黑胡椒大虾沙拉   健康减脂轻食    轻食       28.00      580        4.9       
D284       低卡深海金枪鱼沙拉   健康减脂轻食    轻食       26.00      620        4.8       
D285       健康碳水南美藜麦沙拉 健康减脂轻食    轻食       20.00      720        4.6       
D286       饱腹粗粮蒸紫薯玉米拼盘 健康减脂轻食    轻食       15.00      950        4.5       
D287       全麦饼皮低脂鸡肉卷   健康减脂轻食    轻食       14.00      1100       4.7       
D288       无负担金枪鱼全麦三明治 健康减脂轻食    轻食       16.00      900        4.8       
D289       原味零添加无糖酸奶   健康减脂轻食    饮品       8.00       1150       4.6       
D290       脱脂高钙纯牛奶       健康减脂轻食    饮品       6.00       1300       4.5       
D291       厚切缤纷招牌水果捞   每日鲜切水果    轻食       18.00      1200       4.8       
D292       浓郁老酸奶鲜果水果捞 每日鲜切水果    轻食       20.00      1100       4.9       
D293       清甜生椰乳芒果捞     每日鲜切水果    轻食       22.00      950        4.9       
D294       每日鲜切麒麟无籽西瓜 每日鲜切水果    轻食       8.00       1500       4.7       
D295       脆甜新疆哈密瓜鲜切   每日鲜切水果    轻食       10.00      1150       4.6       
D296       现切红心红龙果盘     每日鲜切水果    轻食       12.00      980        4.7       
D297       盐水浸泡海南菠萝块   每日鲜切水果    轻食       8.00       1200       4.5       
D298       精选阳光玫瑰葡萄拼盘 每日鲜切水果    轻食       18.00      680        4.8       
D299       新鲜当季草莓拼盘     每日鲜切水果    轻食       20.00      580        4.9       
D300       小番茄               每日鲜切水果    轻食       5.00       1050       4.6       
D302       外婆菜               山西刀削        家常菜     15.00      0          0.0       
======================================================================================
